"vtd","cntyvtd","d","r","winner"
"0885","2010885","821","987","R"
"0897","2010897","536","573","R"
"0899","2010899","366","481","R"
"0903","2010903","490","1268","R"
"0911","2010911","106","179","R"
"0912","2010912","348","481","R"
"0916","2010916","418","1257","R"
"0920","2010920","21","30","R"
"0923","2010923","712","1782","R"
"0926","2010926","210","443","R"
"0934","2010934","6","7","R"
"0942","2010942","40","69","R"
"0955","2010955","1387","2414","R"
"0964","2010964","1051","1275","R"
"0965","2010965","38","94","R"
"0973","2010973","243","349","R"
"0974","2010974","0","1","R"
"0976","2010976","158","166","R"
"0980","2010980","308","648","R"
"0982","2010982","582","1662","R"
"0983","2010983","37","40","R"
"0988","2010988","7","67","R"
"0996","2010996","207","245","R"
"0998","2010998","14","19","R"
"1008","2011008","140","556","R"
"0001","2030001","466","983","R"
"0301","2090301","0","0","T"
"0418","2090418","2","2","T"
"0421A","2090421A","10","10","T"
"0421B","2090421B","5","5","T"
"0004","2030004","432","585","R"
"0005","2030005","131","503","R"
"0006","2030006","182","765","R"
"0007","2030007","155","425","R"
"0008","2030008","421","1253","R"
"0009","2030009","258","639","R"
"0010","2030010","148","540","R"
"0011","2030011","127","176","R"
"0012","2030012","372","2617","R"
"0013","2030013","97","824","R"
"0014","2030014","189","712","R"
"0015","2030015","59","634","R"
"0016","2030016","55","319","R"
"0017","2030017","452","492","R"
"0018","2030018","79","420","R"
"0019","2030019","325","1623","R"
"0020","2030020","330","1212","R"
"0021","2030021","152","348","R"
"0023","2030023","19","318","R"
"0024","2030024","62","293","R"
"0025","2030025","295","1884","R"
"0026","2030026","59","303","R"
"0101","2050101","18","183","R"
"0102","2050102","11","119","R"
"0201","2050201","13","143","R"
"0202","2050202","36","310","R"
"0301","2050301","40","534","R"
"0401","2050401","54","438","R"
"0001","2070001","32","215","R"
"0002","2070002","76","263","R"
"0003","2070003","54","227","R"
"0004","2070004","28","121","R"
"0089","2150089","3","3","T"
"0024","2150024","21","43","R"
"0062","2150062","915","925","R"
"0075","2150075","17","22","R"
"0076","2150076","2","12","R"
"0093","2150093","45","56","R"
"0101","2150101","254","298","R"
"0102","2150102","243","325","R"
"0129","2150129","42","46","R"
"0134","2150134","622","644","R"
"0160","2150160","49","61","R"
"0198F","2150198F","0","0","T"
"0238","2150238","21","21","T"
"0167","2150167","139","166","R"
"0178","2150178","9","10","R"
"0181","2150181","169","361","R"
"0184","2150184","6","13","R"
"0195","2150195","199","229","R"
"0202","2150202","194","226","R"
"0212","2150212","106","110","R"
"0222","2150222","6","7","R"
"0224","2150224","54","67","R"
"0235","2150235","73","82","R"
"0236","2150236","145","175","R"
"0252","2150252","3","6","R"
"0002","2170002","134","437","R"
"0004","2170004","329","999","R"
"0005","2170005","47","303","R"
"0006","2170006","35","216","R"
"0007","2170007","51","318","R"
"0008","2170008","33","178","R"
"0009","2170009","67","207","R"
"0010","2170010","245","734","R"
"0012","2170012","70","388","R"
"0013","2170013","276","1349","R"
"0014","2170014","58","588","R"
"0015","2170015","36","198","R"
"0016","2170016","44","181","R"
"0018","2170018","10","95","R"
"0019","2170019","43","198","R"
"0020","2170020","87","508","R"
"0021","2170021","199","956","R"
"0022","2170022","173","825","R"
"0023","2170023","76","224","R"
"0024","2170024","155","558","R"
"0027","2170027","73","360","R"
"0011","2190011","55","404","R"
"0014","2190014","41","391","R"
"0015","2190015","28","232","R"
"0016","2190016","152","1048","R"
"0021","2190021","204","859","R"
"0024","2190024","76","479","R"
"0032","2190032","231","635","R"
"0033","2190033","5","56","R"
"0035","2190035","29","58","R"
"0036","2190036","76","106","R"
"0043","2190043","19","170","R"
"0044","2190044","119","358","R"
"0045A","2190045A","116","475","R"
"0045B","2190045B","55","217","R"
"0046","2190046","51","294","R"
"0001","2210001","123","626","R"
"0002","2210002","363","1867","R"
"0003","2210003","291","1490","R"
"0004","2210004","250","1242","R"
"0005","2210005","234","1382","R"
"0007","2210007","92","636","R"
"0008","2210008","254","1442","R"
"0009","2210009","396","2168","R"
"0010","2210010","445","2388","R"
"0011","2210011","149","853","R"
"0012","2210012","169","883","R"
"0013","2210013","307","1628","R"
"0014","2210014","374","1690","R"
"0015","2210015","36","232","R"
"0016","2210016","525","2855","R"
"0001","2230001","281","1051","R"
"0002","2230002","197","667","R"
"0003","2230003","245","791","R"
"0004","2230004","96","703","R"
"0005","2230005","44","280","R"
"0037","2270037","0","0","T"
"0105","2270105","0","0","T"
"0209","2270209","0","0","T"
"0011","2230011","69","384","R"
"0101","2450101","1","1","T"
"0107","2450107","1","1","T"
"0002","2430002","99","133","R"
"0003","2430003","90","200","R"
"0004","2430004","38","65","R"
"0005","2430005","46","101","R"
"0004","2450004","308","627","R"
"0009","2450009","389","2166","R"
"0021","2450021","67","91","R"
"0024","2450024","88","235","R"
"0025","2450025","269","1069","R"
"0026","2450026","642","971","R"
"0029","2450029","138","1011","R"
"0030","2450030","90","676","R"
"0031","2450031","90","713","R"
"0032","2450032","31","128","R"
"0033","2450033","385","938","R"
"0035","2450035","87","490","R"
"0036","2450036","178","801","R"
"0037","2450037","317","1228","R"
"0038","2450038","221","1207","R"
"0040","2450040","287","1496","R"
"0041","2450041","34","63","R"
"0042","2450042","278","1270","R"
"0043","2450043","292","1118","R"
"0056","2450056","339","1654","R"
"0058","2450058","10","26","R"
"0060","2450060","364","1554","R"
"0061","2450061","408","580","R"
"0062","2450062","520","1165","R"
"0065","2450065","302","979","R"
"0066","2450066","237","996","R"
"0068","2450068","604","800","R"
"0069","2450069","394","1499","R"
"0071","2450071","12","45","R"
"0073","2450073","457","1174","R"
"0074","2450074","263","1582","R"
"0079","2450079","456","812","R"
"0080","2450080","26","128","R"
"0083","2450083","122","638","R"
"0086","2450086","345","404","R"
"0091","2450091","47","396","R"
"0092","2450092","246","518","R"
"0094","2450094","391","1009","R"
"0095","2450095","125","201","R"
"0097","2450097","0","1","R"
"0098","2450098","87","143","R"
"0100","2450100","700","1046","R"
"0102","2450102","33","87","R"
"0103","2450103","1","14","R"
"0104","2450104","13","42","R"
"0106","2450106","6","13","R"
"0108","2450108","45","279","R"
"0109","2450109","28","111","R"
"0005","2470005","1","3","R"
"0002","2490002","89","200","R"
"0003","2490003","159","539","R"
"0007","2490007","618","792","R"
"0008","2490008","472","1152","R"
"0014","2490014","66","71","R"
"0019","2490019","51","126","R"
"0001","250001","473","704","R"
"0002","250002","16","169","R"
"0003","250003","306","465","R"
"0004","250004","54","151","R"
"0005","250005","63","146","R"
"0006","250006","203","433","R"
"0008","250008","37","105","R"
"0002","2510002","495","2291","R"
"0003","2510003","508","2025","R"
"0004","2510004","830","3109","R"
"0005","2510005","456","2068","R"
"0006","2510006","32","263","R"
"0007","2510007","725","3156","R"
"0008","2510008","1002","2321","R"
"0009","2510009","95","553","R"
"0404B","270404B","0","0","T"
"0032","2730032","270","270","T"
"0111","270111","1012","1917","R"
"0113","270113","30","144","R"
"0201","270201","857","919","R"
"0202","270202","1156","1991","R"
"0203","270203","837","3484","R"
"0209","270209","1905","1957","R"
"0301","270301","302","1735","R"
"0302","270302","809","1349","R"
"0303","270303","1082","1433","R"
"0304","270304","113","340","R"
"0305","270305","496","1168","R"
"0308","270308","479","484","R"
"0309","270309","76","416","R"
"0310","270310","41","284","R"
"0311","270311","269","1406","R"
"0312","270312","190","972","R"
"0313","270313","502","1191","R"
"0314","270314","568","843","R"
"0315","270315","993","2267","R"
"0317","270317","1243","2780","R"
"0401","270401","157","500","R"
"0402","270402","420","1071","R"
"0001","2710001","101","277","R"
"0002","2710002","132","187","R"
"0004","2710004","90","344","R"
"0011","2730011","377","552","R"
"0012","2730012","288","444","R"
"0031","2730031","297","428","R"
"0033","2730033","170","217","R"
"0034","2730034","77","271","R"
"1090","291090","1","1","T"
"1103","291103","0","0","T"
"1105","291105","12","12","T"
"1106","291106","0","0","T"
"0402","2870402","39","49","R"
"0403","2870403","41","155","R"
"0404","2870404","163","325","R"
"0405","2870405","51","271","R"
"0001","2890001","132","831","R"
"0002","2890002","30","226","R"
"0003","2890003","44","339","R"
"0004","2890004","79","480","R"
"0005","2890005","43","339","R"
"0006","2890006","72","690","R"
"0007","2890007","30","375","R"
"0008","2890008","92","584","R"
"0009","2890009","12","216","R"
"0010","2890010","52","617","R"
"0011","2890011","82","485","R"
"0012","2890012","136","376","R"
"0013","2890013","44","439","R"
"0014","2890014","19","114","R"
"001A","289001A","16","126","R"
"005A","289005A","0","29","R"
"014A","289014A","26","125","R"
"0001","2910001","50","346","R"
"0002","2910002","68","604","R"
"0003","2910003","123","1188","R"
"0004","2910004","68","272","R"
"0005","2910005","260","1075","R"
"0006","2910006","52","518","R"
"0007","2910007","281","670","R"
"0008","2910008","126","1079","R"
"0009","2910009","130","1268","R"
"0010","2910010","362","1347","R"
"0011","2910011","205","248","R"
"0012","2910012","191","568","R"
"0013","2910013","28","291","R"
"0014","2910014","43","244","R"
"0015","2910015","63","199","R"
"0016","2910016","32","214","R"
"0017","2910017","28","320","R"
"0019","2910019","318","668","R"
"0021","2910021","190","1610","R"
"0022","2910022","475","1444","R"
"0023","2910023","177","810","R"
"0024","2910024","49","442","R"
"0025","2910025","59","476","R"
"0026","2910026","214","1060","R"
"0027","2910027","22","167","R"
"0028","2910028","24","363","R"
"0029","2910029","70","612","R"
"0030","2910030","269","581","R"
"1030","291030","11","12","R"
"1034","291034","1582","1663","R"
"1035","291035","112","181","R"
"1062","291062","73","93","R"
"1067","291067","581","743","R"
"1081","291081","257","556","R"
"1095","291095","52","54","R"
"1101","291101","1","3","R"
"1102","291102","212","266","R"
"1114","291114","0","0","T"
"1126","291126","0","0","T"
"1130","291130","0","0","T"
"1131","291131","0","0","T"
"1134","291134","0","0","T"
"1135","291135","1","1","T"
"1137","291137","0","0","T"
"1139","291139","0","0","T"
"2109","292109","0","0","T"
"2116","292116","1","1","T"
"1109","291109","0","1","R"
"1122","291122","1780","2118","R"
"1133","291133","0","2","R"
"2063","292063","380","670","R"
"2084","292084","944","1173","R"
"2094","292094","63","78","R"
"2095","292095","725","1032","R"
"2108","292108","317","404","R"
"2115","292115","693","849","R"
"2123","292123","534","579","R"
"2130","292130","0","0","T"
"2155","292155","2","2","T"
"2157","292157","0","0","T"
"2158","292158","0","0","T"
"3024","293024","1","1","T"
"3064","293064","137","137","T"
"3096B","293096B","0","0","T"
"2154","292154","149","260","R"
"3001","293001","781","1026","R"
"3003","293003","17","30","R"
"3004","293004","0","2","R"
"3005","293005","343","878","R"
"3006","293006","349","393","R"
"3007","293007","732","891","R"
"3008","293008","23","37","R"
"3009","293009","0","7","R"
"0101","2930101","226","754","R"
"0102","2930102","35","356","R"
"0103","2930103","58","359","R"
"0104","2930104","62","394","R"
"3011","293011","322","392","R"
"3012","293012","166","376","R"
"3016","293016","56","80","R"
"3017","293017","210","689","R"
"3018","293018","561","669","R"
"0201","2930201","117","185","R"
"0204","2930204","51","255","R"
"0205","2930205","97","164","R"
"0206","2930206","32","205","R"
"3021","293021","509","1230","R"
"3022","293022","532","546","R"
"3025","293025","551","606","R"
"3026","293026","478","530","R"
"3027","293027","423","548","R"
"3028","293028","552","617","R"
"3030","293030","601","906","R"
"0301","2930301","182","633","R"
"0302","2930302","71","253","R"
"0303","2930303","10","108","R"
"0304","2930304","66","381","R"
"0305","2930305","28","171","R"
"3033","293033","444","941","R"
"3034","293034","390","1533","R"
"3039","293039","1010","1947","R"
"3040","293040","614","673","R"
"0401","2930401","331","473","R"
"0402","2930402","29","274","R"
"0403","2930403","20","183","R"
"0404","2930404","29","240","R"
"0405","2930405","27","177","R"
"0406","2930406","13","118","R"
"3041","293041","164","211","R"
"3042","293042","1201","1797","R"
"3043","293043","499","1211","R"
"3044","293044","461","572","R"
"3045","293045","392","670","R"
"3046","293046","520","528","R"
"3047","293047","586","630","R"
"3049","293049","605","866","R"
"3050","293050","339","424","R"
"3051","293051","88","170","R"
"3111","293111","0","0","T"
"3144","293144","2","2","T"
"3150","293150","7","7","T"
"3167","293167","2","2","T"
"3170","293170","0","0","T"
"3178","293178","0","0","T"
"3188A","293188A","0","0","T"
"3188B","293188B","0","0","T"
"3190","293190","0","0","T"
"3098","293098","354","453","R"
"3099","293099","1142","1293","R"
"3100","293100","830","944","R"
"3101","293101","719","851","R"
"3102","293102","820","1212","R"
"3104","293104","716","1005","R"
"3105","293105","831","1006","R"
"3106","293106","388","755","R"
"3108","293108","358","610","R"
"3110","293110","852","939","R"
"3114","293114","487","1122","R"
"3115","293115","552","760","R"
"3117","293117","841","1218","R"
"3118","293118","282","311","R"
"3120","293120","940","956","R"
"3121","293121","1057","1450","R"
"3122","293122","588","740","R"
"3124","293124","618","909","R"
"3125","293125","1577","2412","R"
"3126","293126","333","535","R"
"3128","293128","14","23","R"
"3130","293130","439","746","R"
"3131","293131","4","8","R"
"3133","293133","0","1","R"
"3135","293135","267","269","R"
"3136","293136","166","171","R"
"3137","293137","1093","1516","R"
"3138","293138","8","34","R"
"3145","293145","699","879","R"
"3148","293148","269","455","R"
"3151","293151","1052","1357","R"
"3153","293153","488","544","R"
"3154","293154","402","711","R"
"3156","293156","3","7","R"
"3157","293157","774","1018","R"
"3158A","293158A","8","18","R"
"3158B","293158B","2","6","R"
"3160","293160","422","565","R"
"3163","293163","694","927","R"
"3164","293164","1191","2300","R"
"3165","293165","958","1373","R"
"3169","293169","37","61","R"
"3173","293173","901","1145","R"
